GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2016-08-14 16:30:00,l,h,0.522847,1,1.91105,3,0.3234,0,0.522847,1.91105,"{'att': 351, 'def': 24}","{'att': 263, 'def': 25}",14.625,10.52,3,4,-1.3882029999999999
2,2016-08-21 19:00:00,l,a,0.39341,0,1.69288,1,0.366,0,0.39341,1.69288,"{'att': 172, 'def': 23}","{'att': 253, 'def': 34}",7.478260869565218,7.4411764705882355,7,13,-1.29947
3,2016-08-27 18:00:00,d,a,0.974014,1,2.659,1,0.3696,1,0.974014,1.89783,"{'att': 246, 'def': 19}","{'att': 166, 'def': 34}",12.947368421052632,4.882352941176471,8,12,-0.9238159999999999
4,2016-09-10 18:00:00,w,h,0.986511,1,1.48347,0,0.8984000000000001,3,0.986511,1.48347,"{'att': 130, 'def': 19}","{'att': 224, 'def': 21}",6.842105263157895,10.666666666666666,8,4,-0.49695900000000004
5,2016-09-17 18:00:00,l,a,0.389672,0,3.38733,4,0.0366,0,0.389672,3.38733,"{'att': 318, 'def': 15}","{'att': 189, 'def': 43}",21.2,4.395348837209302,2,16,-2.997658
6,2016-09-24 18:00:00,w,h,0.693594,1,1.15724,0,0.9029999999999999,3,0.693594,1.15724,"{'att': 180, 'def': 21}","{'att': 223, 'def': 27}",8.571428571428571,8.25925925925926,4,4,-0.463646
7,2016-10-01 18:00:00,d,a,1.35487,2,1.23419,2,1.4458000000000002,1,1.35487,1.23419,"{'att': 153, 'def': 17}","{'att': 181, 'def': 28}",9.0,6.464285714285714,2,12,0.12068000000000012
8,2016-10-15 18:00:00,w,h,2.92532,6,0.388589,1,2.8351,3,2.16415,0.388589,"{'att': 269, 'def': 36}","{'att': 283, 'def': 17}",7.472222222222222,16.647058823529413,11,1,1.7755609999999997
9,2016-10-22 15:30:00,d,h,0.523371,0,0.74529,0,1.0949,1,0.523371,0.74529,"{'att': 281, 'def': 25}","{'att': 153, 'def': 28}",11.24,5.464285714285714,3,11,-0.22191899999999998
10,2016-10-29 18:00:00,l,a,1.54599,0,1.44317,2,1.4223000000000001,0,1.54599,1.44317,"{'att': 208, 'def': 21}","{'att': 235, 'def': 24}",9.904761904761905,9.791666666666666,14,6,0.10281999999999991
11,2016-11-05 19:00:00,l,h,2.6457,1,1.13672,2,2.382,0,2.6457,0.375547,"{'att': 86, 'def': 20}","{'att': 245, 'def': 24}",4.3,10.208333333333334,24,6,2.270153
12,2016-11-19 19:00:00,w,a,1.24012,1,1.60429,0,1.0476,3,1.24012,0.843118,"{'att': 169, 'def': 28}","{'att': 157, 'def': 24}",6.035714285714286,6.541666666666667,4,8,0.39700199999999986
13,2016-11-27 18:15:00,l,a,2.0491,1,2.8697,3,0.8546999999999999,0,1.28793,2.8697,"{'att': 223, 'def': 18}","{'att': 218, 'def': 27}",12.38888888888889,8.074074074074074,6,21,-1.58177
14,2016-12-04 17:30:00,w,h,2.54396,4,1.26532,3,2.4191000000000003,3,1.78279,1.26532,"{'att': 309, 'def': 19}","{'att': 216, 'def': 31}",16.263157894736842,6.967741935483871,6,7,0.5174700000000001
15,2016-12-10 19:00:00,l,a,1.00194,2,2.15178,3,0.5172,0,1.00194,2.15178,"{'att': 80, 'def': 22}","{'att': 227, 'def': 18}",3.6363636363636362,12.61111111111111,6,9,-1.14984
16,2016-12-13 23:45:00,w,h,0.64118,1,1.6751,0,0.5264,3,0.64118,1.6751,"{'att': 134, 'def': 18}","{'att': 293, 'def': 27}",7.444444444444445,10.851851851851851,4,10,-1.0339200000000002
17,2016-12-18 17:30:00,l,h,0.492912,1,1.69451,3,0.3379,0,0.492912,1.69451,"{'att': 282, 'def': 22}","{'att': 193, 'def': 23}",12.818181818181818,8.391304347826088,5,10,-1.201598
