position,team,matches,wins,draws,loses,scored,conceded,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
1,Leicester,38,23,12,3,68,36,81,68.416034,0.41603399999999624,58.520866999999996,45.019954000000006,9.019954000000006,41.975274,16.545593,10.099470860074694,8.602384307326625,217,275,68.9442,-12.055800000000005
2,Arsenal,38,20,11,7,65,36,71,73.530928,8.530928000000003,72.00859299999999,33.8574794,-2.1425205999999974,33.09631340000001,38.91227959999999,8.785488141260954,12.218744440189766,467,192,77.00869999999999,6.00869999999999
3,Tottenham,38,19,13,6,69,35,70,63.41936200000001,-5.580637999999993,59.61355600000002,37.08092899999999,2.0809289999999905,35.558639,24.054917,6.677874617248266,11.690425452837243,255,182,69.41420000000001,-0.5857999999999919
4,Manchester United,38,19,9,10,49,35,66,45.42421100000001,-3.5757889999999932,43.140710000000006,39.655822000000015,4.655822000000015,38.13348400000002,5.007226000000003,8.065414944805765,12.422403298662495,272,198,56.4429,-9.557099999999998
5,Manchester City,38,19,9,10,71,41,66,66.19736,-4.802639999999997,60.107996,37.469231,-3.5307689999999994,36.70809499999999,23.399901000000003,8.187992646860565,13.828686092184109,379,149,70.13600000000001,4.13600000000001
6,Southampton,38,18,9,11,59,41,63,56.201605,-2.7983949999999993,53.08501,44.29160900000001,3.2916090000000082,43.53044200000001,9.554568000000003,9.649278779400706,12.629054563868499,276,194,61.076299999999996,-1.9237000000000037
7,West Ham,38,16,14,8,65,51,62,54.40056700000002,-10.599432999999983,51.35588900000002,55.47865699999998,4.478656999999977,49.38931099999999,1.9665779999999984,9.667072249799233,9.468405177828751,212,260,49.8002,-12.199800000000003
8,Liverpool,38,16,12,10,63,50,60,54.365662000000015,-8.634337999999985,52.84332400000002,37.8828599,-12.1171401,35.5274469,17.315877099999998,7.915810659939249,11.826111301753329,373,158,63.29060000000001,3.290600000000012
9,Stoke,38,14,9,15,41,55,51,42.626573,1.6265730000000005,38.82080299999999,54.34991700000001,-0.650082999999988,50.54411100000001,-11.723308,10.781819212366425,10.23129191411545,179,257,48.30089999999999,-2.6991000000000085
10,Chelsea,38,12,14,12,59,53,50,54.47971900000001,-4.52028099999999,50.673879000000014,44.626242,-8.373758000000002,41.58156499999999,9.092314,9.182035044199774,10.728803005062735,354,194,59.6233,9.6233
11,Swansea,38,12,11,15,42,52,47,39.958642,-2.0413580000000024,36.152798,53.634229000000026,1.6342290000000261,52.11189100000002,-15.959093,10.461628263140213,11.532582681920484,188,254,42.3999,-4.600099999999998
12,Everton,38,11,14,13,59,55,47,53.98107190000001,-5.0189280999999895,50.17527190000001,54.74880399999999,-0.2511960000000073,50.18178599999999,-0.006514099999998191,12.466180236401305,10.779556877579799,256,304,52.69149999999999,5.691499999999991
13,Watford,38,12,9,17,40,50,45,43.19963699999998,3.1996369999999814,37.87145199999999,51.851501,1.851500999999999,45.744509,-7.873057000000001,9.863686054034366,8.335105366131378,193,241,48.2545,3.2545
14,West Bromwich Albion,38,10,13,15,34,48,43,39.7528703,5.752870299999998,35.9293973,51.93684600000001,3.93684600000001,47.369827000000015,-11.440429700000005,12.340651837171295,7.945136041517219,168,256,42.3035,-0.6965000000000003
15,Crystal Palace,38,11,9,18,39,51,42,42.50767000000001,3.5076700000000116,38.701821,52.93888400000001,1.9388840000000087,49.894244000000015,-11.192423000000002,9.325103236035579,8.56500717089333,161,306,44.8943,2.894300000000001
16,Bournemouth,38,11,9,18,45,67,42,38.705838,-6.294162,35.661153999999996,53.96870899999999,-13.03129100000001,49.40169599999999,-13.740542000000001,9.578405587566193,10.792962965632038,199,216,43.77229999999999,1.772299999999987
17,Sunderland,38,9,12,17,48,62,39,40.51717199999999,-7.482828000000012,38.23366399999999,58.85022230000001,-3.149777699999987,52.7608783,-14.527214300000006,12.603121508943918,8.205901061170623,188,312,40.5241,1.5240999999999971
18,Newcastle United,38,9,10,19,44,65,37,37.605660400000005,-6.394339599999995,35.322165399999996,55.4230604,-9.576939600000003,51.6172134,-16.295047999999998,12.389467657408057,8.027511230933117,154,294,40.2114,3.2113999999999976
19,Norwich,38,9,7,22,39,67,34,39.187494,0.18749400000000094,38.426328,58.930606999999995,-8.069393000000005,51.318942,-12.892614000000002,12.998479691003197,9.060642139166243,182,267,39.177699999999994,5.177699999999994
20,Aston Villa,38,3,8,27,27,76,17,26.527059399999995,-0.4729406000000047,25.004717399999993,59.009572999999996,-16.990427000000004,55.203728000000005,-30.199010599999994,13.835949475203492,7.984215614090003,136,300,29.814,12.814
