GW,date,result,Home/Away,xG,scored,xGA,conceded,xpts,pts,npxG,npxGA,ppda,ppda_allowed,ppda_coef,oppda_coef,deep,deep_allowed,npxGD
1,2018-08-12 18:00:00,l,h,0.445187,0,2.0178,2,0.2781,0,0.445187,2.0178,"{'att': 339, 'def': 25}","{'att': 241, 'def': 22}",13.56,10.954545454545455,8,8,-1.5726129999999998
2,2018-08-18 19:30:00,l,a,2.45798,2,1.71799,3,1.9,0,2.45798,1.71799,"{'att': 399, 'def': 22}","{'att': 269, 'def': 25}",18.136363636363637,10.76,7,10,0.7399900000000001
3,2018-08-25 17:00:00,w,h,1.7852,3,1.17924,1,1.8238999999999999,3,1.7852,1.17924,"{'att': 166, 'def': 33}","{'att': 319, 'def': 18}",5.03030303030303,17.72222222222222,8,10,0.6059599999999998
4,2018-09-02 12:30:00,w,a,1.41005,3,0.77426,2,1.8763,3,1.41005,0.77426,"{'att': 81, 'def': 18}","{'att': 360, 'def': 22}",4.5,16.363636363636363,15,5,0.6357900000000001
5,2018-09-15 14:00:00,w,a,0.90461,2,0.412121,1,1.7786,3,0.90461,0.412121,"{'att': 149, 'def': 21}","{'att': 354, 'def': 24}",7.095238095238095,14.75,10,3,0.492489
6,2018-09-23 15:00:00,w,h,0.930544,2,1.06523,0,1.1892,3,0.930544,1.06523,"{'att': 151, 'def': 31}","{'att': 309, 'def': 18}",4.870967741935484,17.166666666666668,15,5,-0.13468599999999986
7,2018-09-29 14:00:00,w,h,1.57061,2,2.62141,0,0.6981999999999999,3,1.57061,2.62141,"{'att': 144, 'def': 16}","{'att': 278, 'def': 27}",9.0,10.296296296296296,9,4,-1.0508
8,2018-10-07 11:00:00,w,a,1.13706,5,1.31588,1,1.2163,3,1.13706,1.31588,"{'att': 276, 'def': 18}","{'att': 311, 'def': 26}",15.333333333333334,11.961538461538462,12,5,-0.17881999999999998
9,2018-10-22 19:00:00,w,h,2.91637,3,0.932491,1,2.6580000000000004,3,2.91637,0.932491,"{'att': 162, 'def': 27}","{'att': 422, 'def': 23}",6.0,18.347826086956523,14,2,1.9838790000000002
10,2018-10-28 12:30:00,d,a,0.845197,2,2.38115,2,0.3065,1,0.845197,0.858849,"{'att': 224, 'def': 30}","{'att': 342, 'def': 22}",7.466666666666667,15.545454545454545,2,6,-0.013651999999999997
11,2018-11-03 17:30:00,d,h,1.62321,1,1.19558,1,1.7341,1,1.62321,1.19558,"{'att': 197, 'def': 24}","{'att': 369, 'def': 15}",8.208333333333334,24.6,9,8,0.42762999999999995
12,2018-11-11 16:30:00,d,h,0.965843,1,1.86549,1,0.6517999999999999,1,0.965843,1.86549,"{'att': 141, 'def': 23}","{'att': 418, 'def': 20}",6.130434782608695,20.9,11,8,-0.8996470000000001
13,2018-11-25 13:30:00,w,a,1.71044,2,0.650884,1,2.2384999999999997,3,1.71044,0.650884,"{'att': 202, 'def': 22}","{'att': 296, 'def': 15}",9.181818181818182,19.733333333333334,16,6,1.059556
14,2018-12-02 14:05:00,w,h,2.71421,4,1.0926,2,2.5109000000000004,3,1.95304,0.331433,"{'att': 178, 'def': 27}","{'att': 295, 'def': 31}",6.592592592592593,9.516129032258064,9,1,1.621607
15,2018-12-05 20:00:00,d,a,1.73226,2,1.33679,2,1.6905999999999999,1,1.73226,1.33679,"{'att': 254, 'def': 14}","{'att': 300, 'def': 39}",18.142857142857142,7.6923076923076925,10,4,0.39547
16,2018-12-08 15:00:00,w,h,2.02156,1,0.308361,0,2.6395,3,2.02156,0.308361,"{'att': 134, 'def': 24}","{'att': 308, 'def': 29}",5.583333333333333,10.620689655172415,8,2,1.713199
17,2018-12-16 13:30:00,l,a,1.85763,2,1.21163,3,1.9064999999999999,0,1.85763,1.21163,"{'att': 159, 'def': 18}","{'att': 419, 'def': 31}",8.833333333333334,13.516129032258064,7,2,0.6459999999999999
18,2018-12-22 12:30:00,w,h,1.4656,3,1.03237,1,1.6921000000000002,3,1.4656,1.03237,"{'att': 184, 'def': 23}","{'att': 340, 'def': 25}",8.0,13.6,9,4,0.43323
19,2018-12-26 17:15:00,d,a,0.789138,1,1.38502,1,0.74,1,0.789138,1.38502,"{'att': 159, 'def': 11}","{'att': 473, 'def': 24}",14.454545454545455,19.708333333333332,10,8,-0.5958819999999999
20,2018-12-29 17:30:00,l,a,1.08186,1,3.7053,5,0.0922,0,1.08186,2.18296,"{'att': 291, 'def': 31}","{'att': 386, 'def': 28}",9.387096774193548,13.785714285714286,6,12,-1.1011
21,2019-01-01 15:00:00,w,h,4.43325,4,1.71312,1,2.7424000000000004,3,4.43325,1.71312,"{'att': 215, 'def': 20}","{'att': 301, 'def': 24}",10.75,12.541666666666666,21,5,2.72013
22,2019-01-12 12:30:00,l,a,0.685895,0,0.669394,1,1.3109,0,0.685895,0.669394,"{'att': 199, 'def': 20}","{'att': 352, 'def': 26}",9.95,13.538461538461538,8,7,0.016500999999999988
23,2019-01-19 17:30:00,w,h,2.09412,2,0.755304,0,2.3432999999999997,3,2.09412,0.755304,"{'att': 327, 'def': 34}","{'att': 202, 'def': 32}",9.617647058823529,6.3125,5,19,1.3388160000000002
24,2019-01-29 19:45:00,w,h,2.69339,2,0.597893,1,2.6955000000000005,3,1.93222,0.597893,"{'att': 103, 'def': 14}","{'att': 318, 'def': 11}",7.357142857142857,28.90909090909091,21,2,1.334327
25,2019-02-03 16:30:00,l,a,0.703542,1,3.03102,3,0.0611,0,0.703542,3.03102,"{'att': 313, 'def': 20}","{'att': 261, 'def': 30}",15.65,8.7,3,22,-2.3274779999999997
26,2019-02-09 15:00:00,w,a,1.46751,2,1.96816,1,0.9656,3,1.46751,1.96816,"{'att': 219, 'def': 22}","{'att': 238, 'def': 55}",9.954545454545455,4.327272727272727,10,6,-0.5006499999999998
27,2019-02-24 14:05:00,w,h,2.35088,2,0.613167,0,2.6078,3,2.35088,0.613167,"{'att': 150, 'def': 13}","{'att': 328, 'def': 28}",11.538461538461538,11.714285714285714,19,2,1.737713
28,2019-02-27 19:45:00,w,h,3.18716,5,0.88618,1,2.6991,3,3.18716,0.88618,"{'att': 194, 'def': 15}","{'att': 373, 'def': 19}",12.933333333333334,19.63157894736842,13,7,2.30098
29,2019-03-02 12:30:00,d,a,3.45713,1,1.76818,1,2.5561000000000003,1,2.69596,1.00701,"{'att': 284, 'def': 31}","{'att': 139, 'def': 21}",9.161290322580646,6.619047619047619,6,7,1.68895
30,2019-03-10 16:30:00,w,h,1.52723,2,2.3703,0,0.7271,3,0.766059,2.3703,"{'att': 271, 'def': 21}","{'att': 203, 'def': 25}",12.904761904761905,8.12,9,7,-1.6042409999999998
31,2019-04-01 20:00:00,w,h,1.04458,2,0.0441445,0,2.3569999999999998,3,1.04458,0.0441445,"{'att': 144, 'def': 23}","{'att': 381, 'def': 23}",6.260869565217392,16.565217391304348,17,2,1.0004355
32,2019-04-07 14:05:00,l,a,0.201885,0,2.69396,1,0.0839,0,0.201885,2.69396,"{'att': 179, 'def': 16}","{'att': 301, 'def': 31}",11.1875,9.709677419354838,3,6,-2.4920750000000003
33,2019-04-15 20:00:00,w,a,2.2668,1,1.12595,0,2.2389,3,2.2668,1.12595,"{'att': 162, 'def': 20}","{'att': 365, 'def': 23}",8.1,15.869565217391305,16,7,1.14085
34,2019-04-21 16:00:00,l,h,1.54245,2,2.56216,3,0.7062999999999999,0,1.54245,2.56216,"{'att': 96, 'def': 23}","{'att': 301, 'def': 23}",4.173913043478261,13.08695652173913,13,10,-1.01971
35,2019-04-24 19:45:00,l,a,0.939754,1,0.982018,3,1.3253,0,0.939754,0.982018,"{'att': 145, 'def': 11}","{'att': 359, 'def': 19}",13.181818181818182,18.894736842105264,8,5,-0.04226399999999997
36,2019-04-28 12:00:00,l,a,0.600697,0,3.6797,3,0.0762,0,0.600697,3.6797,"{'att': 351, 'def': 16}","{'att': 149, 'def': 25}",21.9375,5.96,4,8,-3.079003
37,2019-05-05 15:30:00,d,h,2.36178,1,1.90585,1,1.6879000000000002,1,1.60061,1.14468,"{'att': 125, 'def': 20}","{'att': 269, 'def': 19}",6.25,14.157894736842104,14,8,0.45593000000000017
38,2019-05-12 14:00:00,w,a,2.87276,3,1.72939,1,2.1656,3,2.87276,1.72939,"{'att': 183, 'def': 11}","{'att': 336, 'def': 19}",16.636363636363637,17.68421052631579,15,10,1.14337
